Index,FullClassPath,SubClassPath,SpeculativeGenerality,BaseClassKnowsDerivedClass,MessageChains,LongParameterList,SpaghettiCode,BaseClassShouldBeAbstract,LongMethod,ClassDataShouldBePrivate,TraditionBreaker,ManyFieldAttributesButNotComplex,RefusedParentBequest,SwissArmyKnife,Blob,AntiSingleton,ComplexClass,LargeClass,FunctionalDecomposition,LazyClass,label,cluster
1535,org.gjt.sp.jedit.bsh.org.objectweb.asm.Type,jedit.bsh.org.objectweb.asm.Type,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1536,org.gjt.sp.jedit.gui.AbbrevEditor,jedit.gui.AbbrevEditor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1537,org.gjt.sp.jedit.options.EncodingsOptionPane,jedit.options.EncodingsOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Interfacer,7
1538,org.gjt.sp.jedit.menu.RecentDirectoriesProvider,jedit.menu.RecentDirectoriesProvider,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1539,org.gjt.sp.jedit.browser.VFSFileNameField,jedit.browser.VFSFileNameField,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1540,org.gjt.sp.jedit.help.HelpIndex,jedit.help.HelpIndex,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1541,org.gjt.sp.jedit.options.PrintOptionPane,jedit.options.PrintOptionPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Information Holder,7
1542,org.gjt.sp.jedit.bsh.JavaCharStream,jedit.bsh.JavaCharStream,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1543,org.gjt.sp.jedit.gui.ActionBar,jedit.gui.ActionBar,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1544,org.gjt.sp.jedit.help.HelpViewer,jedit.help.HelpViewer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1545,org.gjt.sp.jedit.gui.HistoryTextArea,jedit.gui.HistoryTextArea,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Service Provider,7
1546,org.gjt.sp.jedit.search.BoyerMooreSearchMatcher,jedit.search.BoyerMooreSearchMatcher,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider,7
1547,org.gjt.sp.jedit.gui.OptionsDialog,jedit.gui.OptionsDialog,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,Service Provider,7
1548,org.gjt.sp.jedit.bsh.classpath.ClassManagerImpl,jedit.bsh.classpath.ClassManagerImpl,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1549,org.gjt.sp.jedit.Abbrevs,jedit.Abbrevs,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
1550,org.gjt.sp.jedit.options.EditModesPane,jedit.options.EditModesPane,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Service Provider,7
